country,total_cases
Afghanistan,157454
Albania,201730
Algeria,211469
Andorra,18010
Angola,65259
Anguilla,1414
Antigua and Barbuda,4147
Argentina,5340000
Armenia,340723
Aruba,16450
Australia,219121
Austria,1200000
Azerbaijan,596388
Bahamas,22825
Bahrain,277831
Bangladesh,1580000
Barbados,26095
Belarus,663813
Belgium,1830000
Belize,30680
Benin,24863
Bermuda,5751
Bhutan,2641
Bolivia,543390
Bonaire Sint Eustatius and Saba,3040
Bosnia and Herzegovina,277228
Botswana,195302
Brazil,22150000
British Virgin Islands,2809
Brunei,15186
Bulgaria,703160
Burkina Faso,16000
Burundi,20439
Cambodia,120256
Cameroon,107148
Canada,1820000
Cape Verde,38450
Cayman Islands,7529
Central African Republic,11742
Chad,5703
Chile,1770000
China,99203
Colombia,5080000
Comoros,4542
Congo,18970
Cook Islands,2
Costa Rica,567383
Cote d'Ivoire,61824
Croatia,631037
Cuba,963090
Curacao,17485
Cyprus,136832
Czechia,2240000
Democratic Republic of Congo,58319
Denmark,509111
Djibouti,13508
Dominica,6120
Dominican Republic,408516
Ecuador,526870
Egypt,363162
El Salvador,119803
Equatorial Guinea,13599
Eritrea,7458
Estonia,224993
Eswatini,47504
Ethiopia,372215
Faeroe Islands,3916
Falkland Islands,83
Fiji,52543
Finland,191226
France,7960000
French Polynesia,46323
Gabon,37477
Gambia,9992
Georgia,865293
Germany,6200000
Ghana,130920
Gibraltar,7371
Greece,966221
Greenland,1582
Grenada,5908
Guatemala,619852
Guinea,30770
Guinea-Bissau,6444
Guyana,38160
Haiti,25510
Honduras,378251
Hong Kong,12461
Hungary,1130000
Iceland,18333
India,34640000
Indonesia,4260000
International,721
Iran,6130000
Iraq,2080000
Ireland,594250
Isle of Man,11926
Israel,1350000
Italy,5110000
Jamaica,91469
Japan,1730000
Jordan,975956
Kazakhstan,1060000
Kenya,255437
Kiribati,2
Kosovo,161135
Kuwait,413491
Kyrgyzstan,183615
Laos,79833
Latvia,257329
Lebanon,678801
Lesotho,21838
Liberia,5824
Libya,374989
Liechtenstein,4893
Lithuania,479839
Low income,1380000
Luxembourg,90774
Macao,77
Madagascar,44800
Malawi,61981
Malaysia,2660000
Maldives,92211
Mali,17915
Malta,39934
Marshall Islands,4
Mauritania,39558
Mauritius,22090
Mexico,3900000
Micronesia (country),1
Moldova,366256
Monaco,3885
Mongolia,383682
Montenegro,158466
Montserrat,44
Morocco,950591
Mozambique,151924
Myanmar,524407
Namibia,129796
Nepal,822592
Netherlands,2760000
New Caledonia,12331
New Zealand,12331
Nicaragua,17254
Niger,7080
Nigeria,214622
North Macedonia,217301
Norway,284448
Oman,304603
Pakistan,1290000
Palau,8
Palestine,461467
Panama,479053
Papua New Guinea,35538
Paraguay,463260
Peru,2240000
Philippines,2830000
Poland,3670000
Portugal,1170000
Qatar,244223
Romania,1790000
Russia,9630000
Rwanda,100414
Saint Helena,4
Saint Kitts and Nevis,2790
Saint Lucia,13034
Saint Pierre and Miquelon,86
Saint Vincent and the Grenadines,5623
Samoa,3
San Marino,6148
Sao Tome and Principe,3733
Saudi Arabia,549912
Senegal,74024
Serbia,1260000
Seychelles,23599
Sierra Leone,6402
Singapore,269211
Slovakia,1230000
Slovenia,430064
Solomon Islands,20
Somalia,23051
South Africa,3030000
South Korea,477358
South Sudan,12804
Spain,5200000
Sri Lanka,567682
Sudan,43489
Suriname,51009
Sweden,1210000
Switzerland,1040000
Syria,48619
Taiwan,16652
Tajikistan,17493
Tanzania,26270
Thailand,2150000
Timor,19828
Togo,26304
Tonga,1
Trinidad and Tobago,75134
Tunisia,718443
Turkey,8900000
Turks and Caicos Islands,3103
Uganda,127655
Ukraine,3670000
United Arab Emirates,742328
United Kingdom,10480000
United States,49100000
Uruguay,400925
Uzbekistan,194333
Vanuatu,6
Vatican,27
Venezuela,434918
Vietnam,1310000
Wallis and Futuna,454
Yemen,10025
Zambia,210312
Zimbabwe,139046
