country,total_cases
Afghanistan,7328
Albania,3134
Algeria,6145
Andorra,133
Angola,1737
Anguilla,4
Antigua and Barbuda,117
Argentina,116771
Armenia,7802
Aruba,177
Australia,2106
Austria,13162
Azerbaijan,8088
Bahamas,708
Bahrain,1394
Bangladesh,28028
Barbados,251
Belarus,5276
Belgium,27504
Belize,586
Benin,161
Bermuda,106
Bhutan,3
Bolivia,19317
Bonaire Sint Eustatius and Saba,22
Bosnia and Herzegovina,12918
Botswana,2421
Brazil,617096
British Virgin Islands,38
Brunei,98
Bulgaria,29536
Burkina Faso,290
Burundi,38
Cambodia,2985
Cameroon,1823
Canada,29964
Cape Verde,351
Cayman Islands,9
Central African Republic,101
Chad,181
Chile,38686
China,4636
Colombia,129107
Comoros,151
Congo,359
Costa Rica,7332
Cote d'Ivoire,706
Croatia,11619
Cuba,8313
Curacao,182
Cyprus,610
Czechia,34451
Democratic Republic of Congo,1118
Denmark,3014
Djibouti,189
Dominica,42
Dominican Republic,4218
Ecuador,33558
Egypt,21060
El Salvador,3795
Equatorial Guinea,175
Eritrea,63
Estonia,1852
Eswatini,1250
Ethiopia,6829
Faeroe Islands,13
Fiji,697
Finland,1421
France,120493
French Polynesia,636
Gabon,282
Gambia,342
Georgia,12731
Germany,105758
Ghana,1243
Gibraltar,100
Greece,19248
Greenland,0
Grenada,200
Guatemala,16044
Guinea,388
Guinea-Bissau,149
Guyana,1020
Haiti,758
Honduras,10415
Hong Kong,213
Hungary,36429
Iceland,35
India,475636
Indonesia,143936
International,15
Iran,130722
Iraq,23978
Ireland,5788
Isle of Man,67
Israel,8216
Italy,134831
Jamaica,2425
Japan,18369
Jordan,11982
Kazakhstan,18005
Kenya,5348
Kosovo,2987
Kuwait,2466
Kyrgyzstan,2770
Laos,247
Latvia,4375
Lebanon,8848
Lesotho,664
Liberia,287
Libya,5553
Liechtenstein,67
Lithuania,6974
Low income,37678
Luxembourg,890
Madagascar,980
Malawi,2308
Malaysia,30879
Maldives,258
Mali,629
Malta,470
Mauritania,849
Mauritius,240
Mexico,296620
Moldova,9368
Monaco,36
Mongolia,2036
Montenegro,2350
Montserrat,1
Morocco,14796
Mozambique,1944
Myanmar,19183
Namibia,3577
Nepal,11554
Netherlands,20187
New Caledonia,280
New Zealand,47
Nicaragua,214
Niger,268
Nigeria,2981
North Macedonia,7732
Norway,1136
Oman,4113
Pakistan,28836
Palestine,4830
Panama,7386
Papua New Guinea,586
Paraguay,16500
Peru,201770
Philippines,50280
Poland,88479
Portugal,18658
Qatar,613
Romania,57696
Russia,283815
Rwanda,1344
Saint Kitts and Nevis,28
Saint Lucia,283
Saint Vincent and the Grenadines,77
San Marino,94
Sao Tome and Principe,57
Saudi Arabia,8853
Senegal,1886
Serbia,12178
Seychelles,129
Sierra Leone,121
Singapore,794
Slovakia,15354
Slovenia,5408
Somalia,1333
South Africa,90137
South Korea,4293
South Sudan,133
Spain,88381
Sri Lanka,14614
Sudan,3208
Suriname,1177
Sweden,15191
Switzerland,11749
Syria,2814
Taiwan,848
Tajikistan,125
Tanzania,734
Thailand,21171
Timor,122
Togo,243
Trinidad and Tobago,2407
Tunisia,25432
Turkey,79151
Turks and Caicos Islands,25
Uganda,3268
Ukraine,96695
United Arab Emirates,2151
United Kingdom,146546
United States,799070
Uruguay,6145
Uzbekistan,1436
Vanuatu,1
Venezuela,5239
Vietnam,27839
Wallis and Futuna,7
Yemen,1971
Zambia,3670
Zimbabwe,4738
