country,total_cases
Afghanistan,4139999
Albania,1100000
Algeria,7020000
Andorra,56628
Angola,7000000
Anguilla,10079
Antigua and Barbuda,61921
Argentina,37260000
Armenia,869750
Aruba,83936
Australia,20200000
Austria,6480000
Azerbaijan,5110000
Bahamas,154135
Bahrain,1190000
Bangladesh,85530000
Barbados,154444
Belarus,4059999
Belgium,8880000
Belize,229107
Benin,1090000
Bermuda,46054
Bhutan,589482
Bolivia,5210000
Bonaire Sint Eustatius and Saba,0
Bosnia and Herzegovina,882641
Botswana,955135
Brazil,164910000
British Virgin Islands,18357
Brunei,404806
Bulgaria,1900000
Burkina Faso,442769
Burundi,2259
Cambodia,14200000
Cameroon,806176
Canada,31050000
Cape Verde,301215
Cayman Islands,58371
Central African Republic,446712
Chad,205259
Chile,16990000
China,1260000000
Colombia,37840000
Comoros,282378
Congo,550142
Cook Islands,12841
Costa Rica,3920000
Cote d'Ivoire,3310000
Croatia,2220000
Cuba,10220000
Curacao,103299
Cyprus,633930
Czechia,6740000
Democratic Republic of Congo,186741
Denmark,4650000
Djibouti,82858
Dominica,29064
Dominican Republic,6910000
Ecuador,13960000
Egypt,29530000
El Salvador,4450000
Equatorial Guinea,249067
Estonia,833376
Eswatini,302675
Ethiopia,8910000
Faeroe Islands,41387
Falkland Islands,0
Fiji,659250
Finland,4320000
France,52450000
French Polynesia,167068
Gabon,219775
Gambia,242172
Georgia,1260000
Germany,60430000
Ghana,2650000
Gibraltar,41041
Greece,7220000
Greenland,40351
Grenada,40930
Guatemala,6230000
Guernsey,0
Guinea,1690000
Guinea-Bissau,385186
Guyana,404122
Haiti,120569
Honduras,4400000
Hong Kong,4800000
Hungary,6180000
Iceland,286650
India,811440000
Indonesia,145090000
Iran,58570000
Iraq,8010000
Ireland,3880000
Isle of Man,68409
Israel,6410000
Italy,47590000
Jamaica,694626
Japan,100040000
Jersey,80602
Jordan,4210000
Kazakhstan,8830000
Kenya,5360000
Kiribati,59492
Kosovo,869439
Kuwait,3310000
Kyrgyzstan,1160000
Laos,3740000
Latvia,1290000
Lebanon,2020000
Lesotho,626669
Liberia,605468
Libya,1790000
Liechtenstein,25894
Lithuania,1890000
Low income,46860000
Luxembourg,453933
Macao,488314
Madagascar,589003
Malawi,1240000
Malaysia,25940000
Maldives,396162
Mali,822145
Malta,436791
Mauritania,1100000
Mauritius,916524
Mexico,80190000
Moldova,989897
Monaco,0
Mongolia,2260000
Montenegro,279249
Montserrat,1547
Morocco,24560000
Mozambique,6800000
Myanmar,18830000
Namibia,378182
Nauru,0
Nepal,10430000
Netherlands,13290000
New Caledonia,182049
New Zealand,3950000
Nicaragua,4400000
Niger,507223
Nigeria,7350000
Niue,0
North Macedonia,836816
Northern Cyprus,284357
Norway,4260000
Oman,3120000
Pakistan,84240000
Palestine,2020000
Panama,3010000
Papua New Guinea,282571
Paraguay,3410000
Peru,23330000
Philippines,56110000
Pitcairn,0
Poland,21140000
Portugal,9170000
Qatar,0
Romania,7980000
Russia,69110000
Rwanda,6390000
Saint Helena,0
Saint Kitts and Nevis,27358
Saint Lucia,55063
Saint Vincent and the Grenadines,32104
Samoa,141356
San Marino,24282
Sao Tome and Principe,85687
Saudi Arabia,24760000
Senegal,1330000
Serbia,3280000
Seychelles,82117
Sierra Leone,747044
Singapore,4740000
Sint Maarten (Dutch part),27030
Slovakia,2680000
Slovenia,1240000
Solomon Islands,176593
Somalia,892093
South Africa,18340000
South Korea,42930000
South Sudan,223920
Spain,38490000
Sri Lanka,15950000
Sudan,2780000
Suriname,259391
Sweden,7670000
Switzerland,5910000
Syria,1000000
Taiwan,18440000
Tajikistan,3120000
Tanzania,1590000
Thailand,49860000
Timor,652294
Togo,1350000
Tokelau,0
Tonga,73296
Trinidad and Tobago,697645
Tunisia,6260000
Turkey,56490000
Turkmenistan,0
Turks and Caicos Islands,0
Tuvalu,0
Uganda,6530000
Ukraine,14090000
United Arab Emirates,9880000
United Kingdom,51230000
United States,238390000
Uruguay,2760000
Uzbekistan,18140000
Vanuatu,100264
Venezuela,18390000
Vietnam,74710000
Wallis and Futuna,6016
Yemen,556652
Zambia,806611
Zimbabwe,3940000
