课程名称,授课教师,学校,学生人数
C++语言程序设计基础,郑莉 李超 等,清华大学,466920 人
数据结构(上),邓俊辉,清华大学,456245 人
数据结构（下）,邓俊辉,清华大学,381158 人
操作系统,向勇 陈渝,清华大学,218913 人
Java程序设计,郑莉,清华大学,213235 人
网络技术与应用,沈鑫剡 俞海英 等,中国人民解放军陆军工程大学,199241 人
C++语言程序设计进阶,郑莉 李超 等,清华大学,135107 人
C程序设计案例教程（基础）,张莉,中国农业大学,117461 人
C程序设计案例教程（进阶）,张莉,中国农业大学,113000 人
大数据技术与应用,李军,清华大学,104733 人
软件工程,刘强 刘璘,清华大学,103441 人
计算机文化基础,李秀 姚瑞霞 等,清华大学,91339 人
程序设计基础,徐明星 王瑀屏 等,清华大学,89956 人
人工智能原理,王文敏,北京大学,79370 人
组合数学,马昱春,清华大学,78962 人
大数据系统基础,王建民 徐葳 等,清华大学,78898 人
Office办公软件应用,史巧硕 朱怀忠 等,河北工业大学,75097 人
算法设计与分析,王振波,清华大学,73182 人
VC++面向对象与可视化程序设计（上）：Windows编程基础,黄维通,清华大学,71678 人
大数据平台核心技术,武永卫 姚文辉 等,清华大学,69720 人
VC++面向对象与可视化程序设计（下）：MFC编程基础,黄维通,清华大学,69490 人
Web前端攻城狮,刘强 吴亮 等,清华大学,64234 人
大学计算机教程,张莉 马钦,中国农业大学,63595 人
计算机应用基础,宋承继 王坤 等,陕西工业职业技术学院,62523 人
汇编语言程序设计,张悠慧 翟季冬,清华大学,60114 人
大学计算机基础,卫春芳,湖北大学,59131 人
学做小程序——基础篇,刘强 小程序慕课讲师,清华大学,57109 人
基于Linux的C++,乔林,清华大学,56122 人
微软亚洲研究院大数据系列讲座,洪小文 宋睿华 等,Microsoft,54241 人
计算机网络,袁华 杜广龙 等,华南理工大学,53107 人
大学计算机基础,徐红云 刘欣欣 等,华南理工大学,52762 人
JAVA程序设计进阶,许斌,清华大学,52681 人
大学计算机——计算思维的视角,郝兴伟,山东大学,52341 人
面向对象程序设计（C++）,黄震春 徐明星,清华大学,51817 人
计算几何,邓俊辉,清华大学,47962 人
R语言数据分析,艾新波,北京邮电大学,45128 人
Python程序设计基础,许志良,深圳信息职业技术学院,44729 人
大数据机器学习,袁春,清华大学,42247 人
数据库技术与程序设计,高裴裴 康介恢 等,南开大学,41801 人
程序设计基础（上）,赵宏 闫晓玉 等,南开大学,41222 人
单片机原理及应用,杨居义 王颖丽 等,绵阳职业技术学院,40849 人
Web开发技术,王成良 陈静 等,重庆大学,39558 人
ARM微控制器与嵌入式系统,曾鸣 薛涛 等,清华大学,39448 人
Linux 内核分析与应用,陈莉君 谢宝友 等,西安邮电大学,39230 人
区块链和加密数字货币,罗玫,清华大学,38382 人
程序设计基础（下）,赵宏 李妍 等,南开大学,37441 人
大学计算机基础,李敏 高裴裴 等,南开大学,36833 人
C语言程序设计（上）,李凤霞 薛静锋 等,北京理工大学,33575 人
